Reads 100 times per second during 10 seconds (10000 readings)
1. Rotate on X axis, first go down and then go up, finish at the original position
2. Rotate on Y axis, first go left and then go right, finish at the original position
3. Rotate on Z axis, first turn it like it was to touch your right shoulder, then do the
	same for the left shoulder, finish at the original position

%BEGIN%
x = 0.0910204, y = 0.0112482, z = 0.0743922, w = 0.993003
x = 0.905902, y = 0.0537864, z = 0.0664021, w = -0.414775
x = 0.398594, y = 0.0174561, z = -0.0200613, w = -0.916742
x = -0.66607, y = -0.122888, z = -0.114078, w = -0.726798
x = -0.883905, y = -0.126715, z = -0.0433693, w = 0.448079
x = -0.0792885, y = 0.0318663, z = 0.0525433, w = 0.994956
x = 0.974803, y = 0.156766, z = 0.0562864, w = -0.148375
x = -0.978939, y = -0.166334, z = -0.0588977, w = -0.102675
x = 0.846752, y = 0.121072, z = 0.0157102, w = -0.517789
x = 0.154175, y = -0.0189352, z = -0.0456555, w = -0.986807
x = -0.288783, y = -0.104866, z = -0.0745104, w = -0.948713
x = 0.179255, y = 0.0808995, z = 0.0736442, w = 0.977701
x = 0.873786, y = 0.122137, z = 0.041872, w = -0.468858
x = 0.759661, y = 0.0954572, z = 0.0189946, w = -0.642995
x = -0.491695, y = -0.116018, z = -0.0824121, w = -0.85906
x = -0.961921, y = -0.100815, z = -0.0438091, w = 0.25025
x = -0.365191, y = -0.0638986, z = -0.0725881, w = -0.925896
x = -0.270174, y = 0.0236404, z = 0.041806, w = 0.961613
x = -0.169969, y = -0.0419603, z = -0.0594054, w = -0.982762
x = 0.348909, y = -0.0235064, z = -0.0474316, w = -0.93566
x = -0.99172, y = -0.0331037, z = -0.0100798, w = -0.123667
x = -0.412344, y = 0.0229872, z = 0.0581323, w = 0.908881
x = 0.830072, y = 0.00427032, z = -0.0540487, w = -0.555015
x = -0.0889295, y = -0.0397342, z = -0.0525559, w = -0.993856
x = 0.905647, y = 0.0095746, z = -0.0865158, w = -0.415001
x = -0.991984, y = -0.00387473, z = 0.109172, w = -0.063517
x = -0.599344, y = 0.0468009, z = 0.132013, w = 0.788143
x = -0.590705, y = 0.0614674, z = 0.128796, w = 0.794167
x = -0.903279, y = 0.0621404, z = 0.139335, w = 0.401012
x = -0.733943, y = -0.00133619, z = 0.050718, w = -0.677314
x = -0.676672, y = 0.0436056, z = 0.124071, w = 0.724444
x = 0.69058, y = 0.0311124, z = -0.0265883, w = 0.722097
x = 0.351879, y = -0.0113988, z = -0.0772297, w = -0.932784
x = 0.126786, y = 0.0335706, z = 0.041122, w = 0.990509
x = -0.768481, y = -0.0561936, z = -0.00349573, w = -0.637391
x = -0.523037, y = 0.000807609, z = 0.0483582, w = 0.850937
x = 0.763121, y = 0.00590529, z = -0.0324273, w = -0.645415
x = 0.446947, y = 0.0413107, z = 0.0347105, w = 0.892932
x = 0.366533, y = -0.0346935, z = -0.0281589, w = -0.929332
x = 0.379768, y = -0.046595, z = -0.0291453, w = -0.923448
x = 0.391062, y = 0.0370963, z = 0.0368197, w = 0.918879
x = -0.222921, y = -0.0398824, z = -0.0316178, w = -0.973507
x = 0.948886, y = -0.0148839, z = 0.0472372, w = -0.311709
x = 0.736086, y = -0.030622, z = 0.0321279, w = -0.675431
x = -0.986319, y = 0.0139565, z = -0.0428114, w = 0.158578
x = 0.437871, y = -0.044988, z = -0.0188145, w = -0.897714
